id,monitor_session_id,sequence,ts_ms,can_id,payload_hex
8,2,0,1000,014,""
9,2,1,1000,620,00501
10,2,2,1000,620,02C0221
11,2,3,1000,620,02D01CB
12,2,4,2000,620,04C01E5
13,2,5,2000,620,0080000
14,2,6,2000,620,015419B
15,2,7,2000,620,02B0CC8
16,2,8,3000,620,02D0CCD
17,2,9,3000,620,0080000
18,2,10,3000,620,015419B
19,2,11,4000,620,02B0CC9
20,2,12,4000,620,02D0CCD
21,2,13,4000,620,0224650
22,2,14,4000,620,0144671
23,2,15,4000,620,02C05
24,2,16,4000,620,02E00
25,2,17,4000,620,02B0CC8
26,2,18,5000,620,02D0CCD
27,2,19,5000,620,A0700CD
